datetime,value
2026-01-01,74266.2327
2026-01-02,77421.1221
2026-01-03,76974.33
2026-01-04,76823.8801
2026-01-05,78275.9852
2026-01-06,78126.6439
2026-01-07,77344.38329999999
2026-01-08,78181.0579
2026-01-09,77349.5546
2026-01-10,78473.29499999998
2026-01-11,76313.7462
2026-01-12,79892.23319999999
2026-01-13,78350.13369999999
2026-01-14,77177.3299
2026-01-15,78576.8325
2026-01-16,79021.56569999999
2026-01-17,75638.01999999999
2026-01-18,77465.8825
2026-01-19,76685.60549999999
2026-01-20,75729.8688
2026-01-21,78097.6961
2026-01-22,78161.699
2026-01-23,77833.6131
2026-01-24,76578.404
2026-01-25,74665.69359999998
2026-01-26,76297.6109
2026-01-27,75270.0158
2026-01-28,76780.256
2026-01-29,77810.50170000001
2026-01-30,79677.8879
2026-01-31,74264.19159999999
2026-02-01,74544.989
2026-02-02,76346.12679999998
2026-02-03,79028.5349
2026-02-04,79540.37299999999
2026-02-05,79530.1441
2026-02-06,78357.9334
2026-02-07,74253.10779999998
2026-02-08,76073.8132
2026-02-09,76273.1799
2026-02-10,76945.5622
2026-02-11,77552.78080000001
2026-02-12,77926.8768
2026-02-13,78778.7421
2026-02-14,76046.56829999998
2026-02-15,73915.47709999999
2026-02-16,72135.08279999999
2026-02-17,75337.2576
2026-02-18,74041.2385
2026-02-19,75574.9406
2026-02-20,74196.7218
2026-02-21,71663.3265
2026-02-22,70284.6054
2026-02-23,71754.87659999999
2026-02-24,75044.989
2026-02-25,73970.69769999999
2026-02-26,72521.01739999998
2026-02-27,73676.4321
2026-02-28,70848.3522
2026-03-01,67767.0775
2026-03-02,69264.8198
2026-03-03,70286.9739
2026-03-04,71168.0285
2026-03-05,69877.4727
2026-03-06,70772.6252
2026-03-07,67562.8054
2026-03-08,68570.27620000001
2026-03-09,69300.5067
2026-03-10,69045.1553
2026-03-11,68734.7738
2026-03-12,69758.70069999999
2026-03-13,68186.551
2026-03-14,66688.3569
2026-03-15,65041.2082
2026-03-16,67113.7456
2026-03-17,67590.9295
2026-03-18,67164.8382
2026-03-19,66857.4843
2026-03-20,68944.4659
2026-03-21,69413.83709999999
2026-03-22,67359.3337
2026-03-23,68296.9898
2026-03-24,68923.9132
2026-03-25,69554.4212
2026-03-26,69911.0491
2026-03-27,68358.0653
2026-03-28,67949.8066
2026-03-29,68048.7255
2026-03-30,68386.6562
2026-03-31,70128.9233
2026-04-01,68818.7564
