datetime,value
2026-01-01,46413.26
2026-01-02,47450.685
2026-01-03,46698.075
2026-01-04,46686.67
2026-01-05,47515.15
2026-01-06,48146.91
2026-01-07,47897.81
2026-01-08,47915.53
2026-01-09,47776.435
2026-01-10,46609.825
2026-01-11,46533.729999999996
2026-01-12,47878.695
2026-01-13,47682.095
2026-01-14,47871.705
2026-01-15,47805.925
2026-01-16,47822.134999999995
2026-01-17,46584.88
2026-01-18,46333.82
2026-01-19,46388.72
2026-01-20,47976.495
2026-01-21,47803.53
2026-01-22,47776.805
2026-01-23,47870.604999999996
2026-01-24,46372.905
2026-01-25,46402.64
2026-01-26,47673.585
2026-01-27,47741.78
2026-01-28,47391.494999999995
2026-01-29,47279.19
2026-01-30,47385.03
2026-01-31,46051.81
2026-02-01,46144.905
2026-02-02,47388.465
2026-02-03,47384.45
2026-02-04,47155.770000000004
2026-02-05,47044.785
2026-02-06,46960.95
2026-02-07,45846.575
2026-02-08,45756.815
2026-02-09,46416.26
2026-02-10,46564.16499999999
2026-02-11,46611.705
2026-02-12,46439.035
2026-02-13,45951.134999999995
2026-02-14,45180.315
2026-02-15,45125.905
2026-02-16,44889.979999999996
2026-02-17,45747.15
2026-02-18,46016.9
2026-02-19,45555.384999999995
2026-02-20,45038.985
2026-02-21,44923.195
2026-02-22,44578.615
2026-02-23,44931.965
2026-02-24,44762.415
2026-02-25,44861.835
2026-02-26,44500.479999999996
2026-02-27,44280.59
2026-02-28,43642.87
2026-03-01,43590.985
2026-03-02,44131.884999999995
2026-03-03,44108.135
2026-03-04,43983.595
2026-03-05,43741.865
2026-03-06,43783.115000000005
2026-03-07,42966.72
2026-03-08,42924.905
2026-03-09,43437.815
2026-03-10,43103.495
2026-03-11,43062.875
2026-03-12,42951.854999999996
2026-03-13,42931.024999999994
2026-03-14,42358.405
2026-03-15,42334.32
2026-03-16,42926.009999999995
2026-03-17,42766.955
2026-03-18,42817.145000000004
2026-03-19,42721.55
2026-03-20,42830.455
2026-03-21,41976.69
2026-03-22,42018.475
2026-03-23,42697.64
2026-03-24,42739.11
2026-03-25,42682.55
2026-03-26,42703.745
2026-03-27,42624.245
2026-03-28,41916.369999999995
2026-03-29,41824.005000000005
2026-03-30,42487.21
2026-03-31,42540.045
2026-04-01,47727.18
