datetime,value
2026-01-01,53654.61
2026-01-02,56980.13
2026-01-03,56280.775
2026-01-04,55867.72
2026-01-05,58593.985
2026-01-06,58753.884999999995
2026-01-07,58465.225000000006
2026-01-08,58739.72
2026-01-09,58644.2
2026-01-10,57415.695
2026-01-11,56006.085
2026-01-12,57611.31
2026-01-13,58538.305
2026-01-14,58743.22
2026-01-15,58778.23
2026-01-16,58453.78
2026-01-17,56881.55499999999
2026-01-18,55985.509999999995
2026-01-19,56411.395000000004
2026-01-20,58094.21000000001
2026-01-21,58342.119999999995
2026-01-22,59095.604999999996
2026-01-23,58452.91
2026-01-24,57444.975
2026-01-25,55862.42
2026-01-26,57921.884999999995
2026-01-27,58580.695
2026-01-28,57694.59
2026-01-29,57884.725
2026-01-30,57591.485
2026-01-31,56515.875
2026-02-01,55829.28
2026-02-02,57095.75
2026-02-03,57134.07
2026-02-04,57150.67999999999
2026-02-05,57370.715
2026-02-06,56912.600000000006
2026-02-07,56008.535
2026-02-08,54612.445
2026-02-09,56773.475
2026-02-10,56962.7
2026-02-11,56742.455
2026-02-12,56760.79
2026-02-13,56376.725
2026-02-14,55283.225000000006
2026-02-15,53810.744999999995
2026-02-16,54553.509999999995
2026-02-17,55949.619999999995
2026-02-18,55996.57
2026-02-19,56113.205
2026-02-20,55917.8
2026-02-21,55166.09
2026-02-22,53624.05
2026-02-23,55313.47
2026-02-24,55704.755000000005
2026-02-25,55534.07
2026-02-26,55905.875
2026-02-27,55156.615000000005
2026-02-28,54913.06
2026-03-01,53269.009999999995
2026-03-02,54531.065
2026-03-03,55098.479999999996
2026-03-04,55443.03999999999
2026-03-05,55370.325
2026-03-06,54863.485
2026-03-07,54705.695
2026-03-08,53599.8
2026-03-09,55300.0
2026-03-10,55970.46
2026-03-11,56232.065
2026-03-12,56156.425
2026-03-13,55952.2
2026-03-14,54655.755000000005
2026-03-15,53868.240000000005
2026-03-16,55404.020000000004
2026-03-17,56130.96
2026-03-18,55899.415
2026-03-19,56397.235
2026-03-20,56465.43
2026-03-21,55624.805
2026-03-22,54153.67
2026-03-23,55634.020000000004
2026-03-24,56564.54
2026-03-25,56690.97
2026-03-26,56478.770000000004
2026-03-27,56478.22
2026-03-28,55874.65
2026-03-29,54831.05
2026-03-30,56536.225
2026-03-31,57915.225000000006
2026-04-01,55701.24
