datetime,value
2026-01-01,49920.2
2026-01-02,51431.32
2026-01-03,50035.622500000005
2026-01-04,49042.244999999995
2026-01-05,50339.7925
2026-01-06,51387.2525
2026-01-07,51153.270000000004
2026-01-08,50915.1375
2026-01-09,50420.705
2026-01-10,49712.125
2026-01-11,49729.8125
2026-01-12,51185.665
2026-01-13,50660.17
2026-01-14,50502.1625
2026-01-15,50853.284999999996
2026-01-16,50817.7075
2026-01-17,50254.465
2026-01-18,49394.4375
2026-01-19,48888.47
2026-01-20,50522.87
2026-01-21,51032.39
2026-01-22,49907.082500000004
2026-01-23,50837.52250000001
2026-01-24,48373.5825
2026-01-25,48744.4925
2026-01-26,49967.8075
2026-01-27,49998.125
2026-01-28,50383.1375
2026-01-29,49692.299999999996
2026-01-30,49789.192500000005
2026-01-31,48625.802500000005
2026-02-01,48358.0675
2026-02-02,50522.5875
2026-02-03,50586.697499999995
2026-02-04,50457.2025
2026-02-05,49433.295
2026-02-06,50340.0025
2026-02-07,48101.505000000005
2026-02-08,48016.8
2026-02-09,49022.29
2026-02-10,49147.6625
2026-02-11,49581.534999999996
2026-02-12,48919.315
2026-02-13,48829.86
2026-02-14,47418.03
2026-02-15,47684.665
2026-02-16,46849.692500000005
2026-02-17,48575.8275
2026-02-18,48702.152500000004
2026-02-19,48370.7975
2026-02-20,48045.4925
2026-02-21,46473.165
2026-02-22,46579.7475
2026-02-23,47833.175
2026-02-24,47892.91
2026-02-25,47994.299999999996
2026-02-26,47643.2425
2026-02-27,47391.4775
2026-02-28,45852.597499999996
2026-03-01,45958.025
2026-03-02,46736.7125
2026-03-03,47086.3925
2026-03-04,46838.955
2026-03-05,46778.71000000001
2026-03-06,46288.9
2026-03-07,45211.207500000004
2026-03-08,45214.552500000005
2026-03-09,45777.79
2026-03-10,45589.42
2026-03-11,45146.875
2026-03-12,45276.545
2026-03-13,45047.38
2026-03-14,44214.034999999996
2026-03-15,44480.174999999996
2026-03-16,44645.412500000006
2026-03-17,44691.0025
2026-03-18,44913.39
2026-03-19,44699.112499999996
2026-03-20,44806.712499999994
2026-03-21,43625.14
2026-03-22,43693.935
2026-03-23,44323.84
2026-03-24,44531.0675
2026-03-25,44425.8175
2026-03-26,44597.575
2026-03-27,44546.975000000006
2026-03-28,43653.7225
2026-03-29,43462.945
2026-03-30,44325.8325
2026-03-31,44395.435
2026-04-01,49811.942500000005
